date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-08 23:35:59,RHC_English,ACN_Cuba,1,1,2,"From the Revolution Palace, president @DiazCanelB sends message of congratulations &amp; gratitude to #Cuban health professionals, members of the Henry Reeve Brigade, who are returning from #Lombardy, #Italy, where they fought #COVID19. #CubaSalvaVidas #CubaCoopera",,@DiazCanelB,#Cuban #Lombardy #Italy #COVID19 #CubaSalvaVidas #CubaCoopera,1270137530344759298,https://twitter.com/RHC_English/status/1270137530344759298
2020-06-08 23:35:58,PhotoWillems,,0,0,2,"COVID Self-Portraits, Day 78: Light At The End... Malls Open Soon! #COVID19 #QuarantineLife #Quarantine #Canon #Photography #Photographer #Flash #Speedlite #PhotographySchool #MichaelWillemsPhoto #Ottawa #Orleans",,,#COVID19 #QuarantineLife #Quarantine #Canon #Photography #Photographer #Flash #Speedlite #PhotographySchool #MichaelWillemsPhoto #Ottawa #Orleans,1270137524342702082,https://twitter.com/PhotoWillems/status/1270137524342702082
2020-06-08 23:35:58,DanFighter2,,0,0,0,"Check out Sf vs Mk! Available for the next 1 day via @Teespring: https://tspr.ng/c/sf-vs-mk #BlackLivesMatter #COVID19",,@teespring,#BlackLivesMatter #BlackLivesMatter #COVID19,1270137524078419969,https://twitter.com/DanFighter2/status/1270137524078419969
2020-06-08 23:35:57,ISSSTE_mx,,3,21,51,"En nuestra Clínica Hospital Constitución de #Monterrey, todos los días jóvenes donan platillos a los trabajadores que no tienen tiempo de salir a comprar sus alimentos. Mil gracias por su gran apoyo y corazón, ustedes también son grandes héroes. #COVID19 ",,,#Monterrey #COVID19,1270137521985462273,https://twitter.com/ISSSTE_mx/status/1270137521985462273
2020-06-08 23:35:56,canelon2210,,0,0,0,"Gracias a la cuarentena, la gente se muere de #COVID19 y de hambre. Gracias, gobierno de inútiles. #CuarentenaExtendida",,,#COVID19 #CuarentenaExtendida,1270137517497618433,https://twitter.com/canelon2210/status/1270137517497618433
2020-06-08 23:35:56,Hugobie,,10,27,103,"No sé ya a quien creer más, si a la OMS, o a los “héroes” importadores de COVID19. Pelean por ganar credibilidad. ",,,,1270137516809732096,https://twitter.com/Hugobie/status/1270137516809732096
2020-06-08 23:35:56,Original_Seth_V,,0,0,0,"Media And Democrats ""Political Hit Job"" Against Trump And COVID Medicine... https://youtu.be/yFI0O7SlmXo via @YouTube #COVID19 #coronavirus #HCQworks #MSM where the truth doesn't matter, but the points against #Trump do.",,@YouTube,#COVID19 #coronavirus #HCQworks #MSM #Trump,1270137516801351680,https://twitter.com/Original_Seth_V/status/1270137516801351680
2020-06-08 23:35:54,Lawlig,DeAnna4Congress,0,0,0,"Hello Covid19..",,,,1270137507510796289,https://twitter.com/Lawlig/status/1270137507510796289
2020-06-08 23:35:54,budundut70,KemensosRI,0,0,0,"Walau sy tdk termasuk dr semua tahapan Bansos, BLT maupun BST thd dampak pandemi #COVID19 di #IndonesiaMelawanCovid19 Sy ttp MENDUKUNG @KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi &amp; MENGUTUK @BPJSKesehatanRI yg tlh membuat TAGIHAN IURAN layaknya RENTENIR &amp; LINTAH DARAT",,@KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi @BPJSKesehatanRI,#COVID19 #IndonesiaMelawanCovid19,1270137507242360832,https://twitter.com/budundut70/status/1270137507242360832
2020-06-08 23:35:54,TrayKipfinger,DailyCaller,0,0,0,"She should seek help immediately.",,,,1270137506009427969,https://twitter.com/TrayKipfinger/status/1270137506009427969
2020-06-08 23:35:53,caresaboututoo,,0,0,0,"Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! http://chng.it/gmGsRG2X via @Change",,@Change,#moneyforthepeople #covid19,1270137504667250694,https://twitter.com/caresaboututoo/status/1270137504667250694
2020-06-08 23:35:53,Laguantanamera,,0,1,2,"Bienvenidos Valientesss ... Ahora recordamos a #Fidel cuando dijo: “Médicos y no bombas” Italia fue uno de los países más afectados por la #Covid19 y #Cuba dijo AQUIIII #CubaSalvaVidas",,,#Fidel #Covid19 #Cuba #CubaSalvaVidas,1270137502825881608,https://twitter.com/Laguantanamera/status/1270137502825881608
2020-06-08 23:35:53,natty4bumpo,,0,0,0,"Just now watching #RickandMorty s01e06 ""Rick Potion No. 9"", and it's amazing how much the flu virus in the episode looks like SARS-CoV-2 (#COVID19).",,,#RickandMorty #COVID19,1270137502767165442,https://twitter.com/natty4bumpo/status/1270137502767165442
